Niveau,Methode_ML,ML_Score,IF_Score,AE_ReconError,IF_Severity,AE_Severity,ML_Severity,Jour,Ticker
Marche,IF+AE,100.0,1.0,1.792551996688577,Critique,Critique,Critique,2025-12-26,
Marche,IF+AE,65.9,0.4489221578809399,1.7447176092743568,Critique,Critique,Modéré,2025-01-03,
Marche,IF+AE,56.5,0.5787384484081661,0.9773741084951432,Critique,Critique,Faible,2025-03-21,
Marche,IF+AE,53.3,0.4848862468298334,1.085649856562919,Critique,Critique,Faible,2025-03-19,
Marche,IF+AE,51.9,0.5579081992340166,0.8269513413086481,Critique,Critique,Faible,2025-12-19,
Marche,IF+AE,50.0,0.7643124962565027,0.18674493413966015,Critique,Faible,Faible,2025-04-22,
Marche,IF+AE,45.9,0.5565108393608547,0.5612473802280229,Critique,Critique,Faible,2025-12-30,
Marche,IF+AE,39.8,0.40821761911566046,0.6843068863754431,Modéré,Critique,Normal,2025-04-10,
Marche,IF+AE,36.9,0.5042431077882884,0.296120838565329,Critique,Modéré,Normal,2025-01-02,
Marche,IF+AE,36.9,0.4803758299795703,0.3605472655456033,Critique,Modéré,Normal,2025-12-29,
Marche,IF+AE,35.2,0.5441100638085692,0.11536512440647392,Critique,Faible,Normal,2025-07-22,
Marche,IF+AE,33.7,0.4784753476332826,0.2254879730319926,Critique,Modéré,Normal,2025-12-25,
Marche,IF+AE,33.1,0.4981825977601959,0.14628813627062948,Critique,Faible,Normal,2025-11-12,
Marche,IF+AE,30.1,0.30488398057552357,0.5297330436156417,Modéré,Critique,Normal,2025-12-11,
Marche,IF+AE,28.8,0.28593317356396086,0.5242806595911589,Faible,Critique,Normal,2025-06-24,
Marche,IF+AE,28.2,0.43159736747466715,0.10402268500876967,Critique,Faible,Normal,2025-04-07,
Marche,IF+AE,24.9,0.2461468266213701,0.4556845963497731,Faible,Critique,Normal,2025-12-05,
Marche,IF+AE,24.7,0.2374775918721348,0.4697883801283695,Faible,Critique,Normal,2025-01-09,
Marche,IF+AE,24.4,0.2449816606115871,0.4367960471355228,Faible,Critique,Normal,2025-12-16,
Marche,IF+AE,21.9,0.20391587437090786,0.43437519157526344,Faible,Critique,Normal,2025-01-08,
Instrument,IF+AE,89.6,0.8268771173027056,1.560756979303745,Critique,Critique,Critique,2025-07-22,VCN
Instrument,IF+AE,85.8,0.9228809806878917,1.1886460679361381,Critique,Critique,Critique,2025-07-01,STR
Instrument,IF+AE,79.3,0.9202211244615911,0.9408356870229844,Critique,Critique,Modéré,2025-07-09,STR
Instrument,IF+AE,79.3,0.9605624928698256,0.8441504774611286,Critique,Critique,Modéré,2025-07-03,STR
Instrument,IF+AE,77.3,0.9325052002010783,0.8323568724715551,Critique,Critique,Modéré,2025-06-30,STR
Instrument,IF+AE,73.7,0.8550748708833028,0.8726592801196124,Critique,Critique,Modéré,2025-07-02,STR
Instrument,IF+AE,67.4,0.9437249136917634,0.4209322574025553,Critique,Critique,Modéré,2025-06-12,STR
Instrument,IF+AE,67.1,0.9385439106716034,0.41918673336029844,Critique,Critique,Modéré,2025-06-16,STR
Instrument,IF+AE,64.3,1.0,0.16631115277687553,Critique,Critique,Modéré,2025-06-19,STR
Instrument,IF+AE,64.0,0.9668950678009213,0.2343024911034174,Critique,Critique,Modéré,2025-06-13,STR
Instrument,IF+AE,63.1,0.9386979454512198,0.26325137536978765,Critique,Critique,Modéré,2025-06-26,STR
Instrument,IF+AE,63.1,0.9407474992658948,0.25989316953618524,Critique,Critique,Modéré,2025-06-11,STR
Instrument,IF+AE,62.1,0.9591049434812472,0.1767729422532713,Critique,Critique,Modéré,2025-07-10,INV
Instrument,IF+AE,61.3,0.8461268244090061,0.41197264014269425,Critique,Critique,Modéré,2025-07-11,MDP
Instrument,IF+AE,61.2,0.9785483226362425,0.09621922936522087,Critique,Critique,Modéré,2025-07-03,IBC
Instrument,IF+AE,60.7,0.9360948484872109,0.1767593800551265,Critique,Critique,Modéré,2025-07-10,STR
Instrument,IF+AE,60.6,0.8705008078138015,0.3285353988677585,Critique,Critique,Modéré,2025-07-09,IBC
Instrument,IF+AE,60.4,0.9037051594307987,0.23995737824390811,Critique,Critique,Modéré,2025-03-20,SNA
Instrument,IF+AE,60.4,0.9677190869299935,0.09145557022809184,Critique,Critique,Modéré,2025-06-20,STR
Instrument,IF+AE,60.3,0.9494659557648982,0.128948209830871,Critique,Critique,Modéré,2025-06-18,STR
Instrument,IF+AE,59.8,0.9814873975068676,0.03635051272313085,Critique,Critique,Faible,2025-07-03,MDP
Instrument,IF+AE,58.6,0.927398444201541,0.11598930215623723,Critique,Critique,Faible,2025-07-01,INV
Instrument,IF+AE,57.9,0.9112940452892815,0.1275800082835995,Critique,Critique,Faible,2025-12-26,GTM
Instrument,IF+AE,57.7,0.9479545013782692,0.033828910794231,Critique,Critique,Faible,2025-04-02,SNA
Instrument,IF+AE,57.5,0.9369742906293803,0.04931579986272829,Critique,Critique,Faible,2025-02-04,MOX
Instrument,IF+AE,57.4,0.9042720526059951,0.1213424814241435,Critique,Critique,Faible,2025-07-11,STR
Instrument,IF+AE,57.3,0.9489992925772592,0.012507743168844867,Critique,Modéré,Faible,2025-07-03,CRS
Instrument,IF+AE,56.8,0.9392261590876888,0.016933632645851023,Critique,Modéré,Faible,2025-06-30,INV
Instrument,IF+AE,56.7,0.9094613872194717,0.08406102681352484,Critique,Critique,Faible,2025-07-10,IBC
Instrument,IF+AE,56.3,0.9317194848335886,0.014534873606257631,Critique,Modéré,Faible,2025-07-01,MDP
Instrument,IF+AE,56.2,0.9257759045526842,0.026019207504430902,Critique,Critique,Faible,2025-04-24,S2M
Instrument,IF+AE,55.9,0.9053533555296052,0.06132718457191756,Critique,Critique,Faible,2025-07-11,INV
Instrument,IF+AE,55.8,0.915379088537432,0.03586595798316385,Critique,Critique,Faible,2025-06-20,INV
Instrument,IF+AE,55.5,0.7824481962338614,0.3320324639615168,Critique,Critique,Faible,2025-12-29,GTM
