Niveau,Indicateur,Méthode,N,Moyenne,Écart-type,Médiane,P1,P5,P95,P99,Seuil_Alerte_Bas,Seuil_Alerte_Haut,Seuil_Critique_Bas,Seuil_Critique_Haut
Marché Global,Volume Marché (MAD),Z-score + Percentile,247,489006783.5682,324791480.2626,428109975.22,87520338.9064,159160873.467,1020713248.674,1420728479.7404,-160576176.9569,1138589744.0933,-485367657.2194,1463381224.3559
Marché Global,Volume Relatif Marché,Z-score + Percentile,243,1.0319,0.6023,0.9165,0.2559,0.3223,1.9555,2.7993,-0.1727,2.2366,-0.7751,2.8389
Marché Global,MASI Rendement (%),Z-score + Percentile,246,0.0937,0.871,0.1026,-2.2342,-1.3394,1.6179,2.5016,-1.6482,1.8357,-2.5192,2.7066
Marché Global,MASI Volatilité 20j,Z-score + Percentile,237,0.8136,0.3095,0.7615,0.3912,0.4382,1.5036,1.6728,0.1945,1.4326,-0.115,1.7421
Marché Global,Breadth (% hausse),Z-score + Percentile,247,38.44,13.3887,37.8378,8.6133,16.4384,59.7918,69.2259,11.6625,65.2175,-1.7263,78.6062
Instrument,Rendement Instrument (%),Z-score + Percentile,18319,0.1467,2.5134,0.0,-6.4429,-3.6145,4.7094,9.914,-4.8801,5.1735,-7.3935,7.6869
Instrument,Volatilité 5j (%),Z-score + Percentile,18165,1.9819,1.4855,1.6842,0.0,0.0197,4.8798,6.9709,-0.9892,4.953,-2.4748,6.4385
Instrument,Volatilité 20j (%),Z-score + Percentile,17626,2.2222,1.1306,2.0019,0.0981,0.7999,4.312,5.7497,-0.039,4.4833,-1.1696,5.6139
Instrument,Volume Relatif Instrument,Z-score + Percentile,15793,1.0366,1.5489,0.5042,0.0036,0.022,3.8804,7.8556,-2.0613,4.1345,-3.6102,5.6834
Instrument,Spread Bid-Ask (%),Z-score + Percentile,17787,3.9875,4.1243,2.8914,0.2105,0.6091,10.9978,23.7006,-4.2611,12.2361,-8.3854,16.3604
Instrument,Turnover Ratio,Z-score + Percentile,16172,0.0011,0.0031,0.0002,0.0,0.0,0.0044,0.0139,-0.0052,0.0073,-0.0083,0.0104
Instrument,RSI 14j,Z-score + Percentile,17519,49.678,6.6258,50.0,31.5749,39.7408,59.0432,66.0554,36.4264,62.9296,29.8006,69.5554
Flux d'Ordres,OIR (Lee-Ready),Z-score + Percentile,1549,0.2455,0.6801,0.3544,-0.988,-0.9294,1.0,1.0,-1.1147,1.6058,-1.7948,2.2859
Flux d'Ordres,OAR (transactions/h),Z-score + Percentile,1342,118.4958,1585.0183,6.5653,0.6969,1.1486,57.1473,738.3931,-3051.5408,3288.5324,-4636.5592,4873.5508
Flux d'Ordres,Volatilité Intraday (%),Z-score + Percentile,1467,0.8882,0.8338,0.7344,0.0,0.0,2.3029,3.8117,-0.7793,2.5558,-1.6131,3.3896
Flux d'Ordres,VWAP Déviation (%),Z-score + Percentile,1549,-0.1044,1.2105,0.0,-3.9497,-2.0709,1.4355,2.597,-2.5254,2.3166,-3.7359,3.5271
